"Authors","Author full names","Author(s) ID","Title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Publisher","PubMed ID","EID"
"Myriam H.; Abdelhamid A.A.; El-Kenawy E.-S.M.; Ibrahim A.; Eid M.M.; Jamjoom M.M.; Khafaga D.S.","Myriam, Hadjouni (23396729500); Abdelhamid, Abdelaziz A. (55328560100); El-Kenawy, El-Sayed M. (57191347112); Ibrahim, Abdelhameed (34876676400); Eid, Marwa Metwally (35795379100); Jamjoom, Mona M. (57142648900); Khafaga, Doaa Sami (58088844800)","23396729500; 55328560100; 57191347112; 34876676400; 35795379100; 57142648900; 58088844800","Advanced Meta-Heuristic Algorithm Based on Particle Swarm and Al-Biruni Earth Radius Optimization Methods for Oral Cancer Detection","11","","","23681","23700","19","10.1109/ACCESS.2023.3253430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149834542&doi=10.1109%2fACCESS.2023.3253430&partnerID=40&md5=4ff93881a313e0eba3ffe3a4d5ca444c","Oral cancer is a deadly form of cancerous tumor that is widely spread in low and middle-income countries. An early and affordable oral cancer diagnosis might be achieved by automating the detection of precancerous and malignant lesions in the mouth. There are many research attempts to develop a robust machine-learning model that can detect oral cancer from images. However, these are still lacking high precision in oral cancer detection. Therefore, this work aims to propose a new approach capable of detecting oral cancer in medical images with higher accuracy. In this work, a novel and robust oral cancer detection based on a convolutional neural network (CNN) and optimized deep belief network (DBN). The design parameters of CNN and DBN are optimized using a new optimization algorithm, which is developed as a hybrid of Particle Swarm Optimization (PSO) and Al-Biruni Earth Radius (BER) Optimization algorithms and is denoted by (PSOBER). Using a standard biomedical images dataset available on the Kaggle repository, the proposed approach shows promising results outperforming various competing approaches with an accuracy of 97.35%. In addition, a set of statistical tests, such as One-way analysis-of-variance (ANOVA) and Wilcoxon signed-rank tests, are conducted to prove the significance and stability of the proposed approach. The proposed methodology is solid and efficient, and specialists can adopt it. However, additional research on a larger scale dataset is required to confirm the findings and highlight other oral features that can be utilized for cancer detection.  © 2013 IEEE.","Al-Biruni earth radius algorithm; convolutional neural network; deep belief network; metaheuristic optimization; Oral cancer; particle swarm optimization","Analysis of variance (ANOVA); Convolution; Deep neural networks; Diagnosis; Diseases; Heuristic algorithms; Heuristic methods; Medical imaging; Particle swarm optimization (PSO); Al-biruni earth radius algorithm; Cancer; Cancer detection; Convolutional neural network; Deep belief networks; Deep learning; Earth radii; Features extraction; Lesion; Metaheuristic; Metaheuristic optimization; Oral cancer; Particle swarm; Particle swarm optimization; Swarm optimization; Feature extraction","","Institute of Electrical and Electronics Engineers Inc.","","2-s2.0-85149834542"
"Sonneck J.; Zhou Y.; Chen J.","Sonneck, Justin (57892839100); Zhou, Yu (58488105700); Chen, Jianxu (56352708300)","57892839100; 58488105700; 56352708300","MMV_Im2Im: an open-source microscopy machine vision toolbox for image-to-image transformation","13","","giad120","","","","10.1093/gigascience/giad120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183847155&doi=10.1093%2fgigascience%2fgiad120&partnerID=40&md5=436270eaa2e3acee493454ee3e8306a9","Over the past decade, deep learning (DL) research in computer vision has been growing rapidly, with many advances in DL-based image analysis methods for biomedical problems. In this work, we introduce MMV_Im2Im, a new open-source Python package for image-to-image transformation in bioimaging applications. MMV_Im2Im is designed with a generic image-to-image transformation framework that can be used for a wide range of tasks, including semantic segmentation, instance segmentation, image restoration, image generation, and so on. Our implementation takes advantage of state-of-the-art machine learning engineering techniques, allowing researchers to focus on their research without worrying about engineering details. We demonstrate the effectiveness of MMV_Im2Im on more than 10 different biomedical problems, showcasing its general potentials and applicabilities. For computational biomedical researchers, MMV_Im2Im provides a starting point for developing new biomedical image analysis or machine learning algorithms, where they can either reuse the code in this package or fork and extend this package to facilitate the development of new methods. Experimental biomedical researchers can benefit from this work by gaining a comprehensive view of the image-to-image transformation concept through diversified examples and use cases. We hope this work can give the community inspirations on how DL-based image-to-image transformation can be integrated into the assay development process, enabling new biomedical studies that cannot be done only with traditional experimental assays. To help researchers get started, we have provided source code, documentation, and tutorials for MMV_Im2Im at [https://github.com/MMV-Lab/mmv_im2im] under MIT license. © The Author(s) 2024.","deep learning; microscopy image analysis; open-source","Algorithms; Image Processing, Computer-Assisted; Machine Learning; Microscopy; Software; Article; artificial intelligence; cell structure; cellular neural network; computer simulation; computer vision; confocal microscopy; deep learning; fluorescence microscopy; image analysis; image reconstruction; image segmentation; immunofluorescence; immunohistochemistry; learning algorithm; machine learning; microscopy; prediction; stimulated emission depletion microscopy; article; controlled study; human; vision","Ministry of Culture and Science of the State of North Rhine-Westphalia; Bundesministerium für Bildung und Forschung, BMBF, (161L0272); Bundesministerium für Bildung und Forschung, BMBF; Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen, MKW NRW","Oxford University Press","38280188","2-s2.0-85183847155"
"Schilling M.P.; Ahuja N.; Rettenberger L.; Scherr T.; Reischl M.","Schilling, Marcel P. (57221699120); Ahuja, Niket (57888644700); Rettenberger, Luca (57361094700); Scherr, Tim (57211299072); Reischl, Markus (6602490688)","57221699120; 57888644700; 57361094700; 57211299072; 6602490688","Impact of Annotation Noise on Histopathology Nucleus Segmentation","8","2","","197","200","3","10.1515/cdbme-2022-1051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137934248&doi=10.1515%2fcdbme-2022-1051&partnerID=40&md5=576fc3b0dc2fcb6783a408e023f4a48d","Deep learning is often used for automated diagnosis support in biomedical image processing scenarios. Annotated datasets are essential for the supervised training of deep neural networks. The problem of consistent and noise-free annotation remains for experts such as pathologists. The variability within an annotator (intra) and the variability between annotators (inter) are current challenges. In clinical practice or biology, instance segmentation is a common task, but a comprehensive and quantitative study regarding the impact of noisy annotations lacks. In this paper, we present a concept to categorize and simulate various types of annotation noise as well as an evaluation of the impact on deep learning pipelines. Thereby, we use the multi-organ histology image dataset MoNuSeg to discuss the influence of annotator variability. We provide annotation recommendations for clinicians to achieve high-quality automated diagnostic algorithms. © 2022 The Author(s), published by De Gruyter.","Annotator Variability; Deep Learning; Image Processing; Instance Segmentation","Image annotation; Image segmentation; 'current; Annotated datasets; Annotator variability; Automated diagnosis; Deep learning; Diagnosis support; Images processing; Instance segmentation; Nucleus segmentation; Supervised trainings; Deep neural networks","","Walter de Gruyter GmbH","","2-s2.0-85137934248"
"Maiello L.; Ball L.; Micali M.; Iannuzzi F.; Scherf N.; Hoffmann R.-T.; Gama de Abreu M.; Pelosi P.; Huhle R.","Maiello, Lorenzo (57222163638); Ball, Lorenzo (55667696400); Micali, Marco (57215719490); Iannuzzi, Francesca (8672810400); Scherf, Nico (22935625000); Hoffmann, Ralf-Thorsten (55263364700); Gama de Abreu, Marcelo (57205413819); Pelosi, Paolo (7006547963); Huhle, Robert (55192776400)","57222163638; 55667696400; 57215719490; 8672810400; 22935625000; 55263364700; 57205413819; 7006547963; 55192776400","Automatic Lung Segmentation and Quantification of Aeration in Computed Tomography of the Chest Using 3D Transfer Learning","12","","725865","","","","10.3389/fphys.2021.725865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124901369&doi=10.3389%2ffphys.2021.725865&partnerID=40&md5=278d2df56926a150cd69fa0770170ab3","Background: Identification of lung parenchyma on computer tomographic (CT) scans in the research setting is done semi-automatically and requires cumbersome manual correction. This is especially true in pathological conditions, hindering the clinical application of aeration compartment (AC) analysis. Deep learning based algorithms have lately been shown to be reliable and time-efficient in segmenting pathologic lungs. In this contribution, we thus propose a novel 3D transfer learning based approach to quantify lung volumes, aeration compartments and lung recruitability. Methods: Two convolutional neural networks developed for biomedical image segmentation (uNet), with different resolutions and fields of view, were implemented using Matlab. Training and evaluation was done on 180 scans of 18 pigs in experimental ARDS (u2NetPig) and on a clinical data set of 150 scans from 58 ICU patients with lung conditions varying from healthy, to COPD, to ARDS and COVID-19 (u2NetHuman). One manual segmentations (MS) was available for each scan, being a consensus by two experts. Transfer learning was then applied to train u2NetPig on the clinical data set generating u2NetTransfer. General segmentation quality was quantified using the Jaccard index (JI) and the Boundary Function score (BF). The slope between JI or BF and relative volume of non-aerated compartment (SJI and SBF, respectively) was calculated over data sets to assess robustness toward non-aerated lung regions. Additionally, the relative volume of ACs and lung volumes (LV) were compared between automatic and MS. Results: On the experimental data set, u2NetPig resulted in JI = 0.892 [0.88 : 091] (median [inter-quartile range]), BF = 0.995 [0.98 : 1.0] and slopes SJI = −0.2 {95% conf. int. −0.23 : −0.16} and SBF = −0.1 {−0.5 : −0.06}. u2NetHuman showed similar performance compared to u2NetPig in JI, BF but with reduced robustness SJI = −0.29 {−0.36 : −0.22} and SBF = −0.43 {−0.54 : −0.31}. Transfer learning improved overall JI = 0.92 [0.88 : 0.94], P < 0.001, but reduced robustness SJI = −0.46 {−0.52 : −0.40}, and affected neither BF = 0.96 [0.91 : 0.98] nor SBF = −0.48 {−0.59 : −0.36}. u2NetTransfer improved JI compared to u2NetHuman in segmenting healthy (P = 0.008), ARDS (P < 0.001) and COPD (P = 0.004) patients but not in COVID-19 patients (P = 0.298). ACs and LV determined using u2NetTransfer segmentations exhibited < 5% volume difference compared to MS. Conclusion: Compared to manual segmentations, automatic uNet based 3D lung segmentation provides acceptable quality for both clinical and scientific purposes in the quantification of lung volumes, aeration compartments, and recruitability. Copyright © 2022 Maiello, Ball, Micali, Iannuzzi, Scherf, Hoffmann, Gama de Abreu, Pelosi and Huhle.","ARDS; COVID-19; deep learning; Jaccard index; lung recruitment; lung segmentation; transfer learning; uNet","adult respiratory distress syndrome; Article; automation; chronic obstructive lung disease; clinical evaluation; cohort analysis; comparative study; computer assisted tomography; consensus; controlled study; convolutional neural network; coronavirus disease 2019; data analysis software; human; image quality; image segmentation; intensive care unit; lung volume; major clinical study; mathematical computing; mathematical model; quantitative analysis; thorax radiography; three-dimensional imaging; transfer of learning","Centre for Information Services; Deutsche Forschungsgemeinschaft, DFG, (GA 1256/8-1)","Frontiers Media S.A.","","2-s2.0-85124901369"
"Sharma S.; Gupta S.; Gupta D.; Rashid J.; Juneja S.; Kim J.; Elarabawy M.M.","Sharma, Sandhya (57226023345); Gupta, Sheifali (57072019200); Gupta, Deepali (57208714508); Rashid, Junaid (57203222981); Juneja, Sapna (57210408722); Kim, Jungeun (56600264800); Elarabawy, Mahmoud M. (56294009900)","57226023345; 57072019200; 57208714508; 57203222981; 57210408722; 56600264800; 56294009900","Performance Evaluation of the Deep Learning Based Convolutional Neural Network Approach for the Recognition of Chest X-Ray Images","12","","932496","","","","10.3389/fonc.2022.932496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134156021&doi=10.3389%2ffonc.2022.932496&partnerID=40&md5=f02ddfb99735a5764fe4d3a3d30ca686","Recent advancement in the field of deep learning has provided promising performance for the analysis of medical images. Every year, pneumonia is the leading cause for death of various children under the age of 5 years. Chest X-rays are the first technique that is used for the detection of pneumonia. Various deep learning and computer vision techniques can be used to determine the virus which causes pneumonia using Chest X-ray images. These days, it is possible to use Convolutional Neural Networks (CNN) for the classification and analysis of images due to the availability of a large number of datasets. In this work, a CNN model is implemented for the recognition of Chest X-ray images for the detection of Pneumonia. The model is trained on a publicly available Chest X-ray images dataset having two classes: Normal chest X-ray images and Pneumonic Chest X-ray images, where each class has 5000 Samples. 80% of the collected data is used for the purpose to train the model, and the rest for testing the model. The model is trained and validated using two optimizers: Adam and RMSprop. The maximum recognition accuracy of 98% is obtained on the validation dataset. The obtained results are further compared with the results obtained by other researchers for the recognition of biomedical images. Copyright © 2022 Sharma, Gupta, Gupta, Rashid, Juneja, Kim and Elarabawy.","biomedical images; chest X-rays; convolutional neural network; deep learning; optimizers","ADAM protein; accuracy; area under the curve; Article; biomedical image; computer model; computer vision; convolutional neural network; deep learning; human; image analysis; image segmentation; learning algorithm; lung infection; machine learning; pneumonia; radiodiagnosis; support vector machine; thorax radiography; training; validation process","Ministry of Science, ICT and Future Planning, MSIP, (2021R1A4A1031509); National Research Foundation of Korea, NRF; Ministry of SMEs and Startups, MSS, (S3033853)","Frontiers Media S.A.","","2-s2.0-85134156021"
"","","","30th International Conference on Neural Information Processing, ICONIP 2023","14450 LNCS","","","","","3459","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178556551&partnerID=40&md5=b0b91f9a575c994470ccc3db9fb3ab6e","The proceedings contain 256 papers. The special focus in this conference is on Neural Information Processing. The topics include: RPUC: Semi-supervised 3D Biomedical Image Segmentation Through Rectified Pyramid Unsupervised Consistency; a Causality-Based Interpretable Cognitive Diagnosis Model; a Deep Learning Framework with Pruning RoI Proposal for Dental Caries Detection in Panoramic X-ray Images; ensemble of Randomized Neural Network and Boosted Trees for Eye-Tracking-Based Driver Situation Awareness Recognition and Interpretation; task Scheduling with Improved Particle Swarm Optimization in Cloud Data Center; Naturalistic Emotion Recognition Using EEG and Eye Movements; A DNN-Based Learning Framework for Continuous Movements Segmentation; RPF3D: Range-Pillar Feature Deep Fusion 3D Detector for Autonomous Driving; CMCI: A Robust Multimodal Fusion Method for Spiking Neural Networks; neighborhood Learning for Artificial Bee Colony Algorithm: A Mini-survey; channel Attention Separable Convolution Network for Skin Lesion Segmentation; correlated Online k-Nearest Neighbors Regressor Chain for Online Multi-output Regression; neural-Symbolic Recommendation with Graph-Enhanced Information; evolutionary Computation for Berth Allocation Problems: A Survey; user Stance Aware Network for Rumor Detection Using Semantic Relation Inference and Temporal Graph Convolution; multi-task Learning Network for Automatic Pancreatic Tumor Segmentation and Classification with Inter-Network Channel Feature Fusion; Fast and Efficient Brain Extraction with Recursive MLP Based 3D UNet; privacy-Preserving Travel Time Prediction for Internet of Vehicles: A Crowdsensing and Federated Learning Approach; block-Matching Multi-pedestrian Tracking; An Improved Target Searching and Imaging Method for CSAR; RMPE:Reducing Residual Membrane Potential Error for Enabling High-Accuracy and Ultra-low-latency Spiking Neural Networks; A Fine-Grained Domain Adaptation Method for Cross-Session Vigilance Estimation in SSVEP-Based BCI; a Hip-Knee Joint Coordination Evaluation System in Hemiplegic Individuals Based on Cyclogram Analysis; domain-Invariant Task Optimization for Cross-domain Recommendation; FLDNet: A Foreground-Aware Network for Polyp Segmentation Leveraging Long-Distance Dependencies; contrastive Hierarchical Gating Networks for Rating Prediction; preface.","","","","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85178556551"
"Rachmadi M.F.; Byra M.; Skibbe H.","Rachmadi, Muhammad Febrian (54974181500); Byra, Michal (56414988400); Skibbe, Henrik (14021955900)","54974181500; 56414988400; 14021955900","A new family of instance-level loss functions for improving instance-level segmentation and detection of white matter hyperintensities in routine clinical brain MRI","174","","108414","","","","10.1016/j.compbiomed.2024.108414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189928902&doi=10.1016%2fj.compbiomed.2024.108414&partnerID=40&md5=201cdad67fee8975ed00ebd4596a05d6","In this study, we introduce “instance loss functions”, a new family of loss functions designed to enhance the training of neural networks in the instance-level segmentation and detection of objects in biomedical image data, particularly those of varied numbers and sizes. Intended to be utilized conjointly with traditional loss functions, these proposed functions, prioritize object instances over pixel-by-pixel comparisons. The specific functions, the instance segmentation loss (Linstance), the instance center loss (Lcenter), the false instance rate loss (Lfalse), and the instance proximity loss (Lproximity), serve distinct purposes. Specifically, Linstance improves instance-wise segmentation quality, Lcenter enhances segmentation quality of small instances, Lfalse minimizes the rate of false and missed detections across varied instance sizes, and Lproximity improves detection quality by pulling predicted instances towards the ground truth instances. Through the task of segmenting white matter hyperintensities (WMH) in brain MRI, we benchmarked our proposed instance loss functions, both individually and in combination via an ensemble inference models approach, against traditional pixel-level loss functions. Data were sourced from the Alzheimer's Disease Neuroimaging Initiative (ADNI) and the WMH Segmentation Challenge datasets, which exhibit significant variation in WMH instance sizes. Empirical evaluations demonstrate that combining two instance-level loss functions through ensemble inference models outperforms models using other loss function on both the ADNI and WMH Segmentation Challenge datasets for the segmentation and detection of WMH instances. Further, applying these functions to the segmentation of nuclei in histopathology images demonstrated their effectiveness and generalizability beyond WMH, improving performance even in contexts with less severe instance imbalance. © 2024 The Author(s)","Brain lesions; Ensemble inference; Instance-level detection loss; Instance-level segmentation loss; White matter hyperintensities","Algorithms; Alzheimer Disease; Brain; Humans; Image Interpretation, Computer-Assisted; Magnetic Resonance Imaging; Neural Networks, Computer; White Matter; Image enhancement; Image segmentation; Magnetic resonance imaging; Neurodegenerative diseases; Neuroimaging; Object detection; Brain lesions; Brain MRI; Detection loss; Ensemble inference; Instance-level detection loss; Instance-level segmentation loss; Level detections; Loss functions; Segmentation quality; White matter hyperintensities; Alzheimer disease; Article; artificial neural network; brain; comparative study; deep learning; fluid-attenuated inversion recovery imaging; human; image segmentation; instance loss function; major clinical study; neuroimaging; nuclear magnetic resonance imaging; qualitative analysis; quantitative analysis; size; T2 weighted imaging; white matter; algorithm; computer assisted diagnosis; diagnostic imaging; procedures; Pixels","RIKEN; Fakultas Ilmu Komputer, Universitas Indonesia, CS UI; Japan Agency for Medical Research and Development, AMED, (JP15dm0207001); Japan Agency for Medical Research and Development, AMED","Elsevier Ltd","38599072","2-s2.0-85189928902"
"Ghosh A.; Jana N.D.; Mallik S.; Zhao Z.","Ghosh, Arjun (57219433879); Jana, Nanda Dulal (54795488300); Mallik, Saurav (56213777000); Zhao, Zhongming (57755838500)","57219433879; 54795488300; 56213777000; 57755838500","Designing optimal convolutional neural network architecture using differential evolution algorithm","","","100567","","","","10.1016/j.patter.2022.100567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141740726&doi=10.1016%2fj.patter.2022.100567&partnerID=40&md5=e3c68f927cd38442a20565a288744ac9","Convolutional neural networks (CNNs) are deep learning models used widely for solving various tasks like computer vision and speech recognition. CNNs are developed manually based on problem-specific domain knowledge and tricky settings, which are laborious, time consuming, and challenging. To solve these, our study develops an improved differential evolution of convolutional neural network (IDECNN) algorithm to design CNN layer architectures for image classification. Variable-length encoding is utilized to represent the flexible layer architecture of a CNN model in IDECNN. An efficient heuristic mechanism is proposed in IDECNN to evolve CNN architecture through mutation and crossover to prevent premature convergence during the evolutionary process. Eight well-known imaging datasets were utilized. The results showed that IDECNN could design suitable architecture compared with 20 existing CNN models. Finally, CNN architectures are applied to pneumonia and coronavirus disease 2019 (COVID-19) X-ray biomedical image data. The results demonstrated the usefulness of the proposed approach to generate a suitable CNN model. © 2022 The Author(s)","CNN; convolutional neural network; DE; differential evolution; DSML3: Development/pre-production: data science output has been rolled out/validated across multiple domains/problems; image classification; NAS; neural architecture search; neuroevolution; optimal neural architecture","Convolution; Convolutional neural networks; Deep learning; Domain Knowledge; Evolutionary algorithms; Image enhancement; Multilayer neural networks; Network architecture; Optimization; Speech recognition; Convolutional neural network; DE; Differential Evolution; Domain problems; DSML3: development/pre-production: data science output have been rolled out/validated across multiple domain/problem; Images classification; Multiple domains; NAS; Neural architecture search; Neural architectures; Neuro evolutions; Optimal neural architecture; Pre-production; Production data; Image classification","Cancer Prevention and Research Institute of Texas, CPRIT, (180734); Cancer Prevention and Research Institute of Texas, CPRIT","Cell Press","","2-s2.0-85141740726"
"Wu H.; Lu H.; Ping M.; Zhu W.; Li Z.","Wu, Hongli (57796712300); Lu, Huijuan (55729819200); Ping, Mingzhu (57796619100); Zhu, Wenjie (57217050076); Li, Zhao (57191700056)","57796712300; 55729819200; 57796619100; 57217050076; 57191700056","A Deep Learning Method for Pneumonia Detection Based on Fuzzy Non-Maximum Suppression","21","4","","902","911","9","10.1109/TCBB.2023.3247483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149418789&doi=10.1109%2fTCBB.2023.3247483&partnerID=40&md5=ac5ea2f2a002e4d56b6955c7593bde58","Pneumonia is one of the largest causes of death in the world. Deep learning techniques can assist doctors to detect the areas of pneumonia in the chest X-rays images. However, existing methods lack sufficient consideration for the large variation scale and the blurred boundary of the pneumonia area. Here, we present a deep learning method based on Retinanet for pneumonia detection. First, we introduce Res2Net into Retinanet to get the multi-scale feature of pneumonia. Then, we proposed a novel predicted boxes fusion algorithm, named Fuzzy Non-Maximum Suppression (FNMS), which gets a more robust predicted box by fusing the overlapping detection boxes. Finally, we get the performance outperforms than existing methods by integrating two models with different backbones. We report the experimental result in the single model case and the model ensemble case. In the single model case, RetinaNet with FNMS algorithm and Res2Net backbone is better than RetinaNet and other models. In the model ensemble case, the final score of predicted boxes that fused by the FNMS algorithm is better than NMS, Soft-NMS, and weighted boxes fusion. Experimental results on the pneumonia detection dataset verify the superiority of the FNMS algorithm and the proposed method in the pneumonia detection task.  © 2004-2012 IEEE.","Biomedical image; deep learning; model ensemble; pneumonia detection","Algorithms; Deep Learning; Fuzzy Logic; Humans; Pneumonia; Radiographic Image Interpretation, Computer-Assisted; Radiography, Thoracic; Bioinformatics; Deep neural networks; Job analysis; Biomedical images; Convolutional neural network; Deep learning; Features extraction; Model ensembles; Pneumonia detection; Prediction algorithms; Predictive models; Task analysis; algorithm; computer assisted diagnosis; deep learning; diagnosis; diagnostic imaging; fuzzy logic; human; pneumonia; procedures; thorax radiography; Feature extraction","","Institute of Electrical and Electronics Engineers Inc.","37027655","2-s2.0-85149418789"
"Wang K.; Zhang X.; Lu Y.; Zhang X.; Zhang W.","Wang, Kun (57213024990); Zhang, Xiaohong (55276997400); Lu, Yuting (57221641587); Zhang, Xiangbo (57219114472); Zhang, Wei (57225164170)","57213024990; 55276997400; 57221641587; 57219114472; 57225164170","CGRNet: Contour-guided graph reasoning network for ambiguous biomedical image segmentation","75","","103621","","","","10.1016/j.bspc.2022.103621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125710797&doi=10.1016%2fj.bspc.2022.103621&partnerID=40&md5=885d0cb7f8b7928b8336770d11e69113","In this work, we propose to address the existing problem of biomedical image segmentation that often produces results, which fail to capture the exact contours of the target and suffer from ambiguity. Most previous techniques are suboptimal because they often simply concatenate contour information to alleviate this problem, while ignoring the correlation between regions and contours. As a matter of fact, the relationship between cross-domain features is an important clue for ambiguous pixel segmentation in biomedical images. To this end, we contribute a simple yet effective framework called Contour-Guided Graph Reasoning Network (CGRNet) for more accurate segmentation against ambiguity, which is capable of capturing the semantic relations between object regions and contours through graph reasoning. Specifically, we first perform a global graph representation of the low-level and high-level features extracted by the feature extractor, where clusters of pixels with similar features are mapped to each vertex. Further, we explicitly combine contour information as the geometric prior, which can aggregate features of contour pixels to graph vertices and focus on features along the boundaries. Then, the cross-domain features propagate information through the vertices on the graph to efficiently learn and reason about the semantic relations. Finally, the learned refinement graph features are projected back to the original pixel coordinate space for the final pixel-wise segmentation task. Extensive experiments on the three publicly available Kvasir, CVC-612, and COVID19-100 datasets show the effectiveness of our CGRNet with superior performance to existing state-of-the-art methods. Our code is publicly available at: https://github.com/DLWK/CGRNet. © 2022 Elsevier Ltd","Biomedical image segmentation; Computer-aided diagnosis (CAD); Contour-guided; Deep learning; Graph convolution network","Computer aided instruction; Deep learning; Graph theory; Medical imaging; Pixels; Semantic Segmentation; Semantics; Biomedical image segmentation; Computer-aided diagnose; Contour information; Contour-guided; Cross-domain; Deep learning; Domain feature; Existing problems; Graph convolution network; Semantic relations; Article; colonoscopy; computer assisted tomography; computer model; conceptual framework; contour guided graph reasoning network; controlled study; convolution algorithm; convolutional neural network; coronavirus disease 2019; data accuracy; data aggregation; feature extraction; image analysis; image segmentation; interferometry; measurement precision; reasoning; semantic web; sensitivity and specificity; Computer aided diagnosis","Chongqing Major Theme Projects, (cstc2018jszx-cyzt-zxX0017); Special key project of Chongqing technology innovation and application development, (cstc2019jscx-mbdxX0064); National Key Research and Development Program of China, NKRDPC, (2018YFB2101200); Fundamental Research Funds for the Central Universities, (2019CDYGYB014)","Elsevier Ltd","","2-s2.0-85125710797"
"Gupta K.; Bajaj V.; Jain D.K.; Hussain A.","Gupta, Kapil (57198261212); Bajaj, Varun (57209289122); Jain, Deepak Kumar (56206778300); Hussain, Amir (19734290900)","57198261212; 57209289122; 56206778300; 19734290900","Multi-model deep learning system for screening human monkeypox using skin images","","","","","","","10.1111/exsy.13651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195513858&doi=10.1111%2fexsy.13651&partnerID=40&md5=2acc0808aed8db5dfb2a71d421dcb4e9","Purpose: Human monkeypox (MPX) is a viral infection that transmits between individuals via direct contact with animals, bodily fluids, respiratory droplets, and contaminated objects like bedding. Traditional manual screening for the MPX infection is a time-consuming process prone to human error. Therefore, a computer-aided MPX screening approach utilizing skin lesion images to enhance clinical performance and alleviate the workload of healthcare providers is needed. The primary objective of this work is to devise an expert system that accurately classifies MPX images for the automatic detection of MPX subjects. Methods: This work presents a multi-modal deep learning system through the fusion of convolutional neural network (CNN) and machine learning algorithms, which effectively and autonomously detect MPX-infected subjects using skin lesion images. The proposed framework, termed MPXCN-Net is developed by fusing deep features of three pre-trained CNNs: MobileNetV2, DarkNet19, and ResNet18. Three classifiers—K-nearest neighbour, support vector machine (SVM), and ensemble classifier—with various kernel functions, are used to identify infected patients. To validate the efficacy of our proposed system, we employ a publicly accessible MPX skin lesion dataset. Results: By amalgamating features extracted from all three CNNs and utilizing the medium Gaussian kernel of the SVM classifier, our proposed system achieves an outstanding average classification accuracy of 90.4%. Conclusions: Developed MPXCN-Net is suitable for testing with a large diversified dataset before being used in clinical settings. © 2024 John Wiley & Sons Ltd.","biomedical image classification; convolutional neural network; machine learning algorithm; monkeypox infection","Bioinformatics; Convolution; Convolutional neural networks; Deep learning; Diagnosis; Expert systems; Image classification; Image enhancement; Large datasets; Learning algorithms; Nearest neighbor search; Statistical tests; Support vector machines; Biomedical image classification; Biomedical images; Convolutional neural network; Images classification; Machine learning algorithms; Monkeypox infection; Multi-modelling; Skin images; Skin lesion images; Support vector machine classifiers; Learning systems","Engineering and Physical Sciences Research Council, EPSRC, (EP/T021063/1, EP/T024917/1)","John Wiley and Sons Inc","","2-s2.0-85195513858"
